station,school,distance_m,school_lat,school_lon,授業開始日,情報源URL
清水,大阪市立旭東中学校,531.1,34.7175505,135.5617078,,
烏丸,旧市立成徳中学校,489.2,34.999865,135.757747,,
烏丸,飛鳥未来きぼう高等学校　京都キャンパス,569,35.0027321,135.7665552,,
烏丸,京都市立洛風中学校,659.2,35.0095292,135.7616122,,
烏丸,京都市立堀川高等学校,686.6,35.0055556,135.753234,,
烏丸,京都市立堀川高等学校,739.1,35.0055556,135.7526309,,
玉出,市立住吉第一中学校,351.3,34.6217978,135.4874109,,
玉出,大阪市立玉出中学校,425.8,34.6270906,135.4880688,,
玉出,市立玉出中学校,462.4,34.627484,135.48811,,
玉出,大阪市立住吉中学校,701,34.6190933,135.4955287,,
玉川,大阪市立下福島中学校,527.2,34.68838,135.4817865,,
玉川,大阪市立野田中学校,732.8,34.6869325,135.4688438,,
玉川,大阪府立西野田工科高等学校,763.8,34.6937044,135.4695454,,
玉造,大阪市立玉津中学校,525.2,34.6712152,135.5380677,,
玉造,明星中学校,637.2,34.6718557,135.5260858,,
玉造,大阪女学院中学校,671.2,34.6773394,135.5275114,,
玉造,明星高等学校,677,34.6727094,135.5254796,,
玉造,大阪女学院高等学校,694.7,34.6773648,135.5271915,,
玉造,城星学園中学校,725.2,34.6787357,135.5286578,,
玉造,城星学園高等学校,732.9,34.6784965,135.5280808,,
瑞光四丁目,大阪市立瑞光中学校,79.2,34.7525218,135.5453319,,
瑞光四丁目,大阪市立大桐中学校,548.5,34.7488765,135.5489779,,
生駒,市立生駒中学校,725,34.6989727,135.694153,,
田辺,大阪市立昭和中学校,394,34.6274621,135.5210187,,
田辺,市立阿倍野中学校,595.8,34.6289031,135.5185016,,
田辺,私立桃山学院高等学校中学校,706.2,34.6291802,135.5173082,,
白庭台,市立上中学校,495.3,34.7253334,135.7170226,,
相川,大阪高等学校,230.2,34.7588095,135.5356941,,
相川,大阪成蹊女子高等学校,424.9,34.7588645,135.5380196,,
箕面船場阪大前,大阪府立豊島高等学校,661,34.8166044,135.4867388,,
箕面萱野,箕面市立第二中学校,775.4,34.8306889,135.4806058,,
総持寺,茨木市立三島中学校,770.1,34.8288331,135.5764905,,
緑地公園,吹田市立第一中学校,695.6,34.7726375,135.5021967,,
緑橋,大阪市立本庄中学校,554.8,34.6757072,135.5465171,,
花園町,大阪市立今宮中学校,548.2,34.6489231,135.4985942,,
花園町,大阪府立今宮工科高等学校,588,34.6495691,135.4966036,,
花園町,大阪市立天下茶屋中学校,706.3,34.6383968,135.493669,,
茨木市,茨木市立東中学校,497.6,34.8195991,135.579953,,
茨木市,大阪府立茨木高等学校,581.9,34.8134846,135.5707757,,
茨木市,茨木市立養精中学校,710.2,34.8177695,135.5681752,,
荒本,大阪府立布施北高等学校,769.1,34.6724938,135.6009627,,
蒲生四丁目,市立鯰江中学校,453.4,34.7018082,135.5531992,,
蒲生四丁目,大阪市立蒲生中学校,593.8,34.7050185,135.5449064,,
西中島南方,飛鳥未来高等学校,270.9,34.7262798,135.5015283,,
西京極,京都光華中学校・高等学校,351.8,34.995601,135.7188254,,
西京極,京都市立西京極中学校,489.3,34.9908197,135.7233164,,
西向日,市立勝山中学校,231.1,34.9421138,135.7016033,,
西大橋,大阪市立堀江中学校,707.8,34.6704895,135.489689,,
西山天王山,立命館中学校・高等学校,632.7,34.9140061,135.6954496,,
西山天王山,府立乙訓高等学校,761.7,34.9186681,135.6935908,,
西梅田,星槎国際高等学校大阪学習センター,762.5,34.701935,135.487861,,
西田辺,私立大阪学芸高等学校,712.1,34.6155552,135.5124337,,
西長堀,大阪市立堀江中学校,284.1,34.6742743,135.4843353,,
